DATA_HORA;ID;NOME;QUANTIDADE_VENDIDA;VALOR_TOTAL
2026-08-29 22:21:55;1374;ARROZ BRANCO URBANO 1KG;2;14.98
2026-08-29 22:21:55;1474;SALGADINHO YOKITOS 45G (QUEIJO TUBINHO);1;4.49
2026-08-29 22:21:55;1456;LEITE INTEGRAL PIRACANJUBA 1L;1;7.99
2026-08-29 22:21:55;1658;;2;0.0
2026-08-29 22:21:55;1373;ARROZ PARBOILIZADO URBANO 1KG;1;7.49
2026-08-29 22:21:55;1657;;2;0.0
2026-08-29 22:21:55;1312;VEJA PERFUMADO LAVANDA 2L;1;13.99
2026-08-29 22:21:55;1491;AMACIANTE YPE ACONCHEGO 2L;1;12.99
2026-08-29 22:21:55;278;OLEO DE SOJA SOYA 900ML;1;9.89
2026-08-29 22:21:55;300;;2;0.0
2026-08-29 22:21:55;1420;REFRIGERANTE COCA COLA 2L;1;12.89
2026-08-29 22:21:55;204;ENERGETICO MONSTER ENERGY 473ML;1;13.99
2026-08-30 01:03:59;1622;SALGADINHO YOKITOS 45G (QUEIJO/LUA);1;4.49
2026-08-30 01:03:59;1489;;3;0.0
2026-08-30 01:03:59;1352;SABAO EM PO MINUANO AZUL 800G;1;13.99
2026-08-30 01:03:59;1347;CHOCOLATE KINDER BUENO WHITE 39G;1;10.99
2026-08-30 01:03:59;1474;SALGADINHO YOKITOS 45G (QUEIJO TUBINHO);1;4.49
2026-08-30 01:03:59;277;CREME DE LEITE PIRACANJUBA 200G;2;7.18
2026-08-30 01:03:59;1415;;3;0.0
2026-08-30 01:03:59;165;TORCIDA BACON 60G;1;3.79
2026-08-30 01:03:59;132;PAÇOQUITA SANTA HELENA 20G;1;1.59
2026-08-30 01:03:59;265;MILHO PREDILECTA 170G;1;5.39
2026-08-30 01:03:59;204;ENERGETICO MONSTER ENERGY 473ML;1;13.99
2026-08-30 01:03:59;1400;;3;0.0
2026-08-30 01:03:59;1330;ENXAGUANTE BUCAL COLGATE PLAX 1L;2;47.98
2026-08-30 01:03:59;18;CHOCOLATE LOLLO 28G;1;4.69
2026-08-30 01:03:59;1511;CERVEJA AMSTEL PURO MALTE 269ML;5;23.450000000000003
2026-08-30 01:03:59;8;;10;0.0
2026-08-30 01:03:59;231;CHOCOLATE SNICKERS PE DE MOLEQUE 42G;3;23.07
2026-08-30 01:03:59;43;SUCO DE LARANJA DAFRUTA 1L;1;6.89
2026-08-30 07:53:41;71;;1;0.0
2026-08-30 07:53:41;1470;ENERGETICO FRUTAS TROPICAIS BALY 2L;1;15.99
2026-08-30 07:53:41;1440;;1;0.0
2026-08-30 07:53:41;1441;SALSICHA SUINO AURORA 500G;2;28.98
2026-08-30 07:53:41;236;BALA DE GOMA IOGURTE 32G;1;1.99
2026-08-30 07:53:41;1302;;1;0.0
2026-08-30 07:53:41;274;ENERGETICO ABACAXI COM HORTELA BALY 473ML;1;11.99
2026-08-30 07:53:41;1462;;5;0.0
2026-08-30 07:53:41;1463;;3;0.0
2026-08-30 07:53:41;1447;;4;0.0
2026-08-30 07:53:41;1407;GUARANA ANTARCTICA LATA 350 ML;1;5.49
2026-08-30 07:53:41;281;;1;0.0
2026-08-30 07:53:41;55;REFRIGERANTE COCA COLA LATA 310ML;3;16.47
2026-08-30 07:53:41;213;H2O LIMÃO 500ML;2;15.78
2026-08-30 07:53:41;54;REFRIGERANTE FANTA LARANJA 310ML;4;21.96
2026-08-30 07:53:41;1468;ENERGETICO CEREJA ZERO ACUCAR BALY 2L;2;31.98
2026-08-30 07:53:41;1518;CHOCOLATE GALAK NESTLE 80G;1;10.99
2026-08-30 07:53:41;1466;;3;0.0
2026-08-30 07:53:41;44;;1;0.0
2026-08-30 13:33:30;1500;BISCOITO BAUDUCCO AMANTEIGADO BANANA COM CANELA 354G;1;10.99
2026-08-30 13:33:30;1456;LEITE INTEGRAL PIRACANJUBA 1L;1;7.99
2026-08-30 17:55:09;1464;REFRIGERANTE COCA COLA ZERO ACUCAR  2L;1;12.89
2026-08-30 17:55:09;1420;REFRIGERANTE COCA COLA 2L;4;51.56
2026-08-30 17:55:09;1531;QUEIJO MUSSARELA TIROLEZ 150G FATIADO;1;8.49
2026-08-30 17:55:09;1456;LEITE INTEGRAL PIRACANJUBA 1L;1;7.99
2026-08-30 17:55:09;1395;CERVEJA HEINEKEN LATA 350ML;8;59.12
2026-08-30 17:55:09;1661;PRESUNTO FAT VACUO PT 200G PERD;1;10.49
2026-08-30 17:55:09;1393;ICE 51 LIMAO 275ML;2;12.58
2026-08-30 17:55:09;1345;CATCHUP PREDILECTA 400G;1;8.29
